quarterbeats	duration_qb	mc	mn	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
0	2.0	1	1	0	0	4/4	2	1	1/2		1/2	1	1	0	48	C3	3	4
2	2.0	1	1	1/2	1/2	4/4	2	2	1/2		1/2	1		0	36	C2	2	6
2	2.0	1	1	1/2	1/2	4/4	2	1	1/2		1/2	1	-1	0	48	C3	3	5
5/2	0.5	1	1	5/8	5/8	4/4	1	1	1/8		1/8	1		-1	65	F4	4	0
3	0.5	1	1	3/4	3/4	4/4	1	2	1/8		1/8	1		4	64	E4	4	2
3	1.0	1	1	3/4	3/4	4/4	1	1	1/4		1/4	1	1	4	64	E4	4	1
7/2	0.5	1	1	7/8	7/8	4/4	1	2	1/8		1/8	1	1	0	60	C4	4	3
4	4.0	2	2	0	0	4/4	2	2	1		1	1		1	43	G2	2	18
4	1.5	2	2	0	0	4/4	1	2	3/8		1/4	3/2	-1	0	60	C4	4	12
4	0.5	2	2	0	0	4/4	1	1	1/8		1/8	1	-1	4	64	E4	4	7
9/2	0.5	2	2	1/8	1/8	4/4	1	1	1/8		1/8	1		4	64	E4	4	8
5	1.0	2	2	1/4	1/4	4/4	1	1	1/4		1/4	1	1	2	62	D4	4	9
11/2	0.5	2	2	3/8	3/8	4/4	1	2	1/8		1/8	1	1	0	60	C4	4	13
6	2.0	2	2	1/2	1/2	4/4	2	1	1/2		1/2	1	1	1	55	G3	3	17
6	0.5	2	2	1/2	1/2	4/4	1	2	1/8		1/8	1	-1	0	60	C4	4	14
6	1.5	2	2	1/2	1/2	4/4	1	1	3/8		1/4	3/2	-1	2	62	D4	4	10
13/2	0.5	2	2	5/8	5/8	4/4	1	2	1/8		1/8	1		0	60	C4	4	15
7	1.0	2	2	3/4	3/4	4/4	1	2	1/4		1/4	1	1	5	59	B3	3	16
15/2	0.5	2	2	7/8	7/8	4/4	1	1	1/8		1/8	1	1	4	64	E4	4	11
8	4.0	3	3	0	0	4/4	2	2	1		1	1		3	45	A2	2	31
8	2.0	3	3	0	0	4/4	2	1	1/2		1/2	1	-1	1	55	G3	3	29
8	1.5	3	3	0	0	4/4	1	2	3/8		1/4	3/2	-1	5	59	B3	3	24
8	0.5	3	3	0	0	4/4	1	1	1/8		1/8	1	-1	4	64	E4	4	19
17/2	0.5	3	3	1/8	1/8	4/4	1	1	1/8		1/8	1		2	62	D4	4	20
9	1.0	3	3	1/4	1/4	4/4	1	1	1/4		1/4	1	1	0	60	C4	4	21
19/2	0.5	3	3	3/8	3/8	4/4	1	2	1/8		1/8	1	1	5	59	B3	3	25
10	2.0	3	3	1/2	1/2	4/4	2	1	1/2		1/2	1	1	-1	53	F3	3	30
10	0.5	3	3	1/2	1/2	4/4	1	2	1/8		1/8	1	-1	5	59	B3	3	26
10	1.5	3	3	1/2	1/2	4/4	1	1	3/8		1/4	3/2	-1	0	60	C4	4	22
21/2	0.5	3	3	5/8	5/8	4/4	1	2	1/8		1/8	1		5	59	B3	3	27
11	1.0	3	3	3/4	3/4	4/4	1	2	1/4		1/4	1	1	3	57	A3	3	28
23/2	0.5	3	3	7/8	7/8	4/4	1	1	1/8		1/8	1	1	0	60	C4	4	23
12	2.0	4	4	0	0	4/4	2	2	1/2		1/2	1		5	47	B2	2	44
12	2.0	4	4	0	0	4/4	2	1	1/2		1/2	1	-1	-1	53	F3	3	42
12	1.5	4	4	0	0	4/4	1	2	3/8		1/4	3/2	-1	3	57	A3	3	38
12	0.5	4	4	0	0	4/4	1	1	1/8		1/8	1	-1	0	60	C4	4	32
25/2	0.5	4	4	1/8	1/8	4/4	1	1	1/8		1/8	1		0	60	C4	4	33
13	1.0	4	4	1/4	1/4	4/4	1	1	1/4		1/4	1	1	2	62	D4	4	34
27/2	0.5	4	4	3/8	3/8	4/4	1	2	1/8		1/8	1	1	1	55	G3	3	39
14	2.0	4	4	1/2	1/2	4/4	2	2	1/2		1/2	1	1	0	48	C3	3	45
14	2.0	4	4	1/2	1/2	4/4	2	1	1/2		1/2	1		4	52	E3	3	43
14	1.5	4	4	1/2	1/2	4/4	1	2	3/8		1/4	3/2	-1	1	55	G3	3	40
14	0.5	4	4	1/2	1/2	4/4	1	1	1/8		1/8	1	-1	2	62	D4	4	35
29/2	0.5	4	4	5/8	5/8	4/4	1	1	1/8		1/8	1		-1	65	F4	4	36
15	1.0	4	4	3/4	3/4	4/4	1	1	1/4		1/4	1	1	4	64	E4	4	37
31/2	0.5	4	4	7/8	7/8	4/4	1	2	1/8		1/8	1	1	1	55	G3	3	41
16	2.0	5	5	0	0	4/4	2	2	1/2		1/2	1	-1	0	48	C3	3	59
16	2.0	5	5	0	0	4/4	2	1	1/2		1/2	1	1	2	50	D3	3	57
16	1.5	5	5	0	0	4/4	1	2	3/8		1/4	3/2	-1	1	55	G3	3	51
16	0.5	5	5	0	0	4/4	1	1	1/8		1/8	1	-1	4	64	E4	4	46
33/2	0.5	5	5	1/8	1/8	4/4	1	1	1/8		1/8	1		4	64	E4	4	47
17	1.0	5	5	1/4	1/4	4/4	1	1	1/4		1/4	1	1	-1	65	F4	4	48
35/2	0.5	5	5	3/8	3/8	4/4	1	2	1/8		1/8	1	1	3	57	A3	3	52
18	2.0	5	5	1/2	1/2	4/4	2	2	1/2		1/2	1		5	47	B2	2	60
18	2.0	5	5	1/2	1/2	4/4	2	1	1/2		1/2	1	-1	2	50	D3	3	58
18	0.5	5	5	1/2	1/2	4/4	1	2	1/8		1/8	1	-1	3	57	A3	3	53
18	1.5	5	5	1/2	1/2	4/4	1	1	3/8		1/4	3/2	-1	-1	65	F4	4	49
37/2	0.5	5	5	5/8	5/8	4/4	1	2	1/8		1/8	1	1	2	62	D4	4	54
19	1.0	5	5	3/4	3/4	4/4	1	3	1/4		1/4	1		1	55	G3	3	56
19	1.0	5	5	3/4	3/4	4/4	1	2	1/4		1/4	1	-1	2	62	D4	4	55
39/2	0.5	5	5	7/8	7/8	4/4	1	1	1/8		1/8	1		1	67	G4	4	50
20	2.0	6	6	0	0	4/4	2	1	1/2		1/2	1	1	0	48	C3	3	67
20	2.0	6	6	0	0	4/4	2	2	1/2		1/2	1		0	48	C3	3	69
20	1.0	6	6	0	0	4/4	1	1	1/4		1/4	1		4	64	E4	4	61
21	0.0	6	6	1/4	1/4	4/4	1	1	0	appoggiatura	1/8	1		2	62	D4	4	62
21	1.0	6	6	1/4	1/4	4/4	1	1	1/4		1/4	1		0	60	C4	4	63
22	2.0	6	6	1/2	1/2	4/4	2	2	1/2		1/2	1		0	36	C2	2	70
22	2.0	6	6	1/2	1/2	4/4	2	1	1/2		1/2	1	-1	0	48	C3	3	68
45/2	0.5	6	6	5/8	5/8	4/4	1	1	1/8		1/8	1	1	4	64	E4	4	64
23	1.0	6	6	3/4	3/4	4/4	1	1	1/4		1/4	1	0	4	64	E4	4	65
