mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	4.0	0	0	2/2	2	1	F.I[I	F	I	I	I	I							M	0	0	0, 4, 1		0	0
2	2	4	2.0	0	0	2/2	2	1	viio6]	F	I	I	viio6	vii	o	6					o	0	0	2, -1, 5		5	2
2	2	6	2.0	1/2	1/2	2/2	2	1	V7/IV	F	I		V7/IV	V		7		IV			Mm7	0	0	0, 4, 1, -2		0	0
3	3	8	2.0	0	0	2/2	2	1	ii6(112)	F	I		ii6(112)	ii		6	112				m	0	0	-1, 3, 4	1	2	-1
3	3	10	2.0	1/2	1/2	2/2	2	1	ii6	F	I		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
4	4	12	1.0	0	0	2/2	2	1	V65	F	I		V65	V		65					Mm7	0	0	5, 2, -1, 1		1	5
4	4	13	1.0	1/4	1/4	2/2	2	1	I	F	I		I	I							M	0	0	0, 4, 1		0	0
4	4	14	1.0	1/2	1/2	2/2	2	1	IV.IV(2)	F	IV		IV(2)	IV			2				M	0	0	1, 3, 0		-1	1
4	4	15	1.0	3/4	3/4	2/2	2	1	IV	F	IV		IV	IV							M	0	0	-1, 3, 0		-1	-1
5	5	16	1.5	0	0	2/2	2	1	V2	F	IV		V2	V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
5	5	35/2	0.5	3/8	3/8	2/2	2	1	I6	F	IV		I6	I		6					M	0	0	4, 1, 0		0	4
5	5	18	1.0	1/2	1/2	2/2	2	1	vi64	F	IV		vi64	vi		64					m	0	0	4, 3, 0		3	4
5	5	19	1.0	3/4	3/4	2/2	2	1	viio6	F	IV		viio6	vii	o	6					o	0	0	2, -1, 5		5	2
6	6	20	1.5	0	0	2/2	2	1	I	F	IV		I	I							M	0	0	0, 4, 1		0	0
6	6	43/2	2.0	3/8	3/8	2/2	2	1	I.viio6	F	I		viio6	vii	o	6					o	0	0	2, -1, 5		5	2
6	6	47/2	0.5	7/8	7/8	2/2	2	1	I	F	I		I	I							M	0	0	0, 4, 1		0	0
7	7	24	1.0	0	0	2/2	2	1	V\\	F	I		V	V						\\	M	0	0	1, 5, 2		1	1
7	7	25	1.0	1/4	1/4	2/2	2	1	V7	F	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
7	7	26	1.0	1/2	1/2	2/2	2	1	I64	F	I		I64	I		64					M	0	0	1, 0, 4		0	1
7	7	27	1.0	3/4	3/4	2/2	2	1	V	F	I		V	V							M	0	0	1, 5, 2		1	1
8	8	28	3.0	0	0	2/2	2	1	I	F	I		I	I							M	0	0	0, 4, 1		0	0
8	8	31	1.0	3/4	3/4	2/2	2	1	V.V65/V	F	V		V65/V	V		65		V			Mm7	0	0	6, 3, 0, 2		2	6
9	9	32	1.0	0	0	2/2	2	1	V\\	F	V		V	V						\\	M	0	0	1, 5, 2		1	1
9	9	33	1.0	1/4	1/4	2/2	2	1	I6	F	V		I6	I		6					M	0	0	4, 1, 0		0	4
9	9	34	1.0	1/2	1/2	2/2	2	1	IVM2(9)	F	V		IVM2(9)	IV	M	2	9				MM7	0	0	4, -1, 3, 0	1	-1	4
9	9	35	0.5	3/4	3/4	2/2	2	1	vii65(2)	F	V		vii65(2)	vii		65	2				mm7	0	0	2, 6, 3, 0		5	2
9	9	71/2	0.5	7/8	7/8	2/2	2	1	vii65	F	V		vii65	vii		65					mm7	0	0	2, 6, 3, 5		5	2
10	10	36	0.5	0	0	2/2	2	1	iii2(94)	F	V		iii2(94)	iii		2	94				mm7	0	0	2, 4, 3, 5	-1	4	2
10	10	73/2	0.5	1/8	1/8	2/2	2	1	iii2(9)	F	V		iii2(9)	iii		2	9				mm7	0	0	2, 4, 1, 5	-1	4	2
10	10	37	0.5	1/4	1/4	2/2	2	1	vi65(2)	F	V		vi65(2)	vi		65	2				mm7	0	0	0, 4, 1, 5		3	0
10	10	75/2	0.5	3/8	3/8	2/2	2	1	vi65	F	V		vi65	vi		65					mm7	0	0	0, 4, 1, 3		3	0
10	10	38	0.5	1/2	1/2	2/2	2	1	ii2(94)	F	V		ii2(94)	ii		2	94				mm7	0	0	0, 2, 1, 3	4	2	0
10	10	77/2	0.5	5/8	5/8	2/2	2	1	ii2(9)	F	V		ii2(9)	ii		2	9				mm7	0	0	0, 2, -1, 3	4	2	0
10	10	39	0.5	3/4	3/4	2/2	2	1	V65(2)	F	V		V65(2)	V		65	2				Mm7	0	0	5, 2, -1, 3		1	5
10	10	79/2	0.5	7/8	7/8	2/2	2	1	V65	F	V		V65	V		65					Mm7	0	0	5, 2, -1, 1		1	5
11	11	40	0.5	0	0	2/2	2	1	I(94)	F	V		I(94)	I			94				M	0	0	0, -1, 1	2	0	0
11	11	81/2	0.5	1/8	1/8	2/2	2	1	I(9)	F	V		I(9)	I			9				M	0	0	0, 4, 1	2	0	0
11	11	41	1.0	1/4	1/4	2/2	2	1	I6	F	V		I6	I		6					M	0	0	4, 1, 0		0	4
11	11	42	1.0	1/2	1/2	2/2	2	1	IV	F	V		IV	IV							M	0	0	-1, 3, 0		-1	-1
11	11	43	1.0	3/4	3/4	2/2	2	1	I64	F	V		I64	I		64					M	0	0	1, 0, 4		0	1
12	12	44	1.0	0	0	2/2	2	1	IV6	F	V		IV6	IV		6					M	0	0	3, 0, -1		-1	3
12	12	45	1.0	1/4	1/4	2/2	2	1	IV7	F	V		IV7	IV		7					Mm7	0	0	-1, 3, 0, -3		-1	-1
12	12	46	1.5	1/2	1/2	2/2	2	1	V(64)	F	V		V(64)	V			64				M	0	0	1, 0, 4		1	1
12	12	95/2	0.5	7/8	7/8	2/2	2	1	V	F	V		V	V							M	0	0	1, 5, 2		1	1
13	13	48	1.0	0	0	2/2	2	1	I[I\\	F	V	I	I	I						\\	M	0	0	0, 4, 1		0	0
13	13	49	3.0	1/4	1/4	2/2	2	1	I.V7	F	I	V	V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
14	14	52	1.0	0	0	2/2	2	1	I6(2)	F	I	V	I6(2)	I		6	2				M	0	0	4, 1, 2		0	4
14	14	53	1.0	1/4	1/4	2/2	2	1	I6	F	I	V	I6	I		6					M	0	0	4, 1, 0		0	4
14	14	54	1.0	1/2	1/2	2/2	2	1	V7(4)	F	I	V	V7(4)	V		7	4				Mm7	0	0	1, 0, 2, -1		1	1
14	14	55	1.0	3/4	3/4	2/2	2	1	V7]	F	I	V	V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
15	15	56	2.0	0	0	2/2	2	1	vi6(2)	F	I		vi6(2)	vi		6	2				m	0	0	0, 4, 5		3	0
15	15	58	2.0	1/2	1/2	2/2	2	1	vi6	F	I		vi6	vi		6					m	0	0	0, 4, 3		3	0
16	16	60	2.0	0	0	2/2	2	1	V6(2)	F	I		V6(2)	V		6	2				M	0	0	5, 2, 3		1	5
16	16	62	2.0	1/2	1/2	2/2	2	1	v6	F	I		v6	v		6					m	0	0	-2, 2, 1		1	-2
17	17	64	1.0	0	0	2/2	2	1	ii.V7	F	ii		V7	V		7					Mm7	0	1	1, 5, 2, -1		1	1
17	17	65	1.5	1/4	1/4	2/2	2	1	V(64)	F	ii		V(64)	V			64				M	0	1	1, 0, -3		1	1
17	17	133/2	0.5	5/8	5/8	2/2	2	1	V(4)	F	ii		V(4)	V			4				M	0	1	1, 0, 2		1	1
17	17	67	0.5	3/4	3/4	2/2	2	1	V7(4)	F	ii		V7(4)	V		7	4				Mm7	0	1	1, 0, 2, -1		1	1
17	17	135/2	0.5	7/8	7/8	2/2	2	1	V7	F	ii		V7	V		7					Mm7	0	1	1, 5, 2, -1		1	1
18	18	68	2.0	0	0	2/2	2	1	i\\	F	ii		i	i						\\	m	0	1	0, -3, 1		0	0
18	18	70	2.0	1/2	1/2	2/2	2	1	I.I6	F	I		I6	I		6					M	0	0	4, 1, 0		0	4
19	19	72	2.0	0	0	2/2	2	1	IV	F	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
19	19	74	2.0	1/2	1/2	2/2	2	1	V	F	I		V	V							M	0	0	1, 5, 2		1	1
20	20	76	1.0	0	0	2/2	2	1	ii	F	I		ii	ii							m	0	0	2, -1, 3		2	2
20	20	77	1.0	1/4	1/4	2/2	2	1	V65	F	I		V65	V		65					Mm7	0	0	5, 2, -1, 1		1	5
20	20	78	1.0	1/2	1/2	2/2	2	1	I6(112)	F	I		I6(112)	I		6	112				M	0	0	4, 1, 2	-1	0	4
20	20	79	1.0	3/4	3/4	2/2	2	1	I6	F	I		I6	I		6					M	0	0	4, 1, 0		0	4
21	21	80	1.0	0	0	2/2	2	1	IVM65	F	I		IVM65	IV	M	65					MM7	0	0	3, 0, 4, -1		-1	3
