quarterbeats	duration_qb	mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
0	1.5	1	1	0	0	6/8	2	1	e.i	e	i		i	i							m	1	1	0, -3, 1		0	0
3/2	1.5	1	1	3/8	3/8	6/8	2	1	#viio6	e	i		#viio6	#vii	o	6					o	1	1	2, -1, 5		5	2
3	1.5	2	2	0	0	6/8	2	1	i6	e	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
9/2	0.5	2	2	3/8	3/8	6/8	2	1	iv	e	i		iv	iv							m	1	1	-1, -4, 0		-1	-1
5	1.0	2	2	1/2	1/2	6/8	2	1	V7	e	i		V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1
6	1.0	3	3	0	0	6/8	2	1	i	e	i		i	i							m	1	1	0, -3, 1		0	0
7	0.5	3	3	1/4	1/4	6/8	2	1	III6	e	i		III6	III		6					M	1	1	1, -2, -3		-3	1
15/2	1.0	3	3	3/8	3/8	6/8	2	1	ii43(94)	e	i		ii43(94)	ii		43	94				mm7	1	1	3, 0, 2, 1	-3	2	3
17/2	0.5	3	3	5/8	5/8	6/8	2	1	ii43	e	i		ii43	ii		43					mm7	1	1	3, 0, 2, -1		2	3
9	1.0	4	4	0	0	6/8	2	1	V7	e	i		V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1
10	0.5	4	4	1/4	1/4	6/8	2	1	i	e	i		i	i							m	1	1	0, -3, 1		0	0
21/2	0.5	4	4	3/8	3/8	6/8	2	1	v6	e	i		v6	v		6					m	1	1	-2, 2, 1		1	-2
11	0.75	4	4	1/2	1/2	6/8	2	1	iv6(2)	e	i		iv6(2)	iv		6	2				m	1	1	-4, 0, 1		-1	-4
47/4	0.25	4	4	11/16	11/16	6/8	2	1	iv6	e	i		iv6	iv		6					m	1	1	-4, 0, -1		-1	-4
12	0.25	5	5	0	0	6/8	2	1	V\\	e	i		V	V						\\	M	1	1	1, 5, 2		1	1
49/4	1.25	5	5	1/16	1/16	6/8	2	1	III.iii7	e	III		iii7	iii		7					mm7	1	0	4, 1, 5, 2		4	4
27/2	1.5	5	5	3/8	3/8	6/8	2	1	V7/ii	e	III		V7/ii	V		7		ii			Mm7	1	0	3, 7, 4, 1		3	3
15	1.5	6	6	0	0	6/8	2	1	ii7	e	III		ii7	ii		7					mm7	1	0	2, -1, 3, 0		2	2
33/2	1.5	6	6	3/8	3/8	6/8	2	1	V7	e	III		V7	V		7					Mm7	1	0	1, 5, 2, -1		1	1
18	0.5	7	7	0	0	6/8	2	1	I	e	III		I	I							M	1	0	0, 4, 1		0	0
37/2	0.5	7	7	1/8	1/8	6/8	2	1	I6	e	III		I6	I		6					M	1	0	4, 1, 0		0	4
19	0.5	7	7	1/4	1/4	6/8	2	1	V7/IV	e	III		V7/IV	V		7		IV			Mm7	1	0	0, 4, 1, -2		0	0
39/2	0.5	7	7	3/8	3/8	6/8	2	1	IV	e	III		IV	IV							M	1	0	-1, 3, 0		-1	-1
20	0.5	7	7	1/2	1/2	6/8	2	1	I64	e	III		I64	I		64					M	1	0	1, 0, 4		0	1
41/2	0.5	7	7	5/8	5/8	6/8	2	1	IV6	e	III		IV6	IV		6					M	1	0	3, 0, -1		-1	3
21	0.5	8	8	0	0	6/8	2	1	V	e	III		V	V							M	1	0	1, 5, 2		1	1
43/2	0.5	8	8	1/8	1/8	6/8	2	1	V7	e	III		V7	V		7					Mm7	1	0	1, 5, 2, -1		1	1
22	0.5	8	8	1/4	1/4	6/8	2	1	I	e	III		I	I							M	1	0	0, 4, 1		0	0
45/2	0.5	8	8	3/8	3/8	6/8	2	1	IVM7(9)	e	III		IVM7(9)	IV	M	7	9				MM7	1	0	-1, 3, 0, 4	1	-1	-1
23	0.25	8	8	1/2	1/2	6/8	2	1	V(64)	e	III		V(64)	V			64				M	1	0	1, 0, 4		1	1
93/4	0.5	8	8	9/16	9/16	6/8	2	1	V(4)	e	III		V(4)	V			4				M	1	0	1, 0, 2		1	1
95/4	0.25	8	8	11/16	11/16	6/8	2	1	V	e	III		V	V							M	1	0	1, 5, 2		1	1
24	1.5	9	9	0	0	6/8	2	1	I\\	e	III		I	I						\\	M	1	0	0, 4, 1		0	0
51/2	1.5	9	9	3/8	3/8	6/8	2	1	VII.I6	e	VII		I6	I		6					M	1	0	4, 1, 0		0	4
27	0.5	10	10	0	0	6/8	2	1	ii7	e	VII		ii7	ii		7					mm7	1	0	2, -1, 3, 0		2	2
55/2	0.5	10	10	1/8	1/8	6/8	2	1	viio6	e	VII		viio6	vii	o	6					o	1	0	2, -1, 5		5	2
28	0.5	10	10	1/4	1/4	6/8	2	1	V65	e	VII		V65	V		65					Mm7	1	0	5, 2, -1, 1		1	5
57/2	0.5	10	10	3/8	3/8	6/8	2	1	I	e	VII		I	I							M	1	0	0, 4, 1		0	0
29	0.25	10	10	1/2	1/2	6/8	2	1	V(64)	e	VII		V(64)	V			64				M	1	0	1, 0, 4		1	1
117/4	0.5	10	10	9/16	9/16	6/8	2	1	V(4)	e	VII		V(4)	V			4				M	1	0	1, 0, 2		1	1
119/4	0.25	10	10	11/16	11/16	6/8	2	1	V	e	VII		V	V							M	1	0	1, 5, 2		1	1
30	1.5	11	11	0	0	6/8	2	1	I\\	e	VII		I	I						\\	M	1	0	0, 4, 1		0	0
63/2	1.0	11	11	3/8	3/8	6/8	2	1	v.IV(96)	e	v		IV(96)	IV			96				M	1	1	-1, 3, 2	1	-1	-1
65/2	0.5	11	11	5/8	5/8	6/8	2	1	IV6	e	v		IV6	IV		6					M	1	1	3, 0, -1		-1	3
33	1.0	12	12	0	0	6/8	2	1	V65	e	v		V65	V		65					Mm7	1	1	5, 2, -1, 1		1	5
34	0.5	12	12	1/4	1/4	6/8	2	1	V	e	v		V	V							M	1	1	1, 5, 2		1	1
69/2	0.5	12	12	3/8	3/8	6/8	2	1	i	e	v		i	i							m	1	1	0, -3, 1		0	0
35	0.5	12	12	1/2	1/2	6/8	2	1	v6	e	v		v6	v		6					m	1	1	-2, 2, 1		1	-2
71/2	0.5	12	12	5/8	5/8	6/8	2	1	iv6	e	v		iv6	iv		6					m	1	1	-4, 0, -1		-1	-4
36	0.5	13	13	0	0	6/8	2	1	V\\	e	v		V	V						\\	M	1	1	1, 5, 2		1	1
73/2	0.5	13	13	1/8	1/8	6/8	2	1	i6	e	v		i6	i		6					m	1	1	-3, 1, 0		0	-3
37	0.5	13	13	1/4	1/4	6/8	2	1	i	e	v		i	i							m	1	1	0, -3, 1		0	0
75/2	1.0	13	13	3/8	3/8	6/8	2	1	IV	e	v		IV	IV							M	1	1	-1, 3, 0		-1	-1
77/2	0.5	13	13	5/8	5/8	6/8	2	1	ii	e	v		ii	ii							m	1	1	2, -1, 3		2	2
39	1.0	14	14	0	0	6/8	2	1	V	e	v		V	V							M	1	1	1, 5, 2		1	1
40	0.5	14	14	1/4	1/4	6/8	2	1	i6	e	v		i6	i		6					m	1	1	-3, 1, 0		0	-3
81/2	0.5	14	14	3/8	3/8	6/8	2	1	iv7	e	v		iv7	iv		7					mm7	1	1	-1, -4, 0, -3		-1	-1
41	1.0	14	14	1/2	1/2	6/8	2	1	V	e	v		V	V							M	1	1	1, 5, 2		1	1
42	1.0	15	15	0	0	6/8	2	1	i\\	e	v		i	i						\\	m	1	1	0, -3, 1		0	0
